"judgment_id","subject_id","source_id","prompt_id","subject_model_alias","judge_alias","judge_config_hash","status","raw_output","final_class","none_declared","parse_status","error_message","prompt_tokens","completion_tokens","total_tokens","latency_ms","retry_count","started_at","completed_at","metadata"
"37895445f9f5020a77ba4a86","audit-q1-iter23","logs/behavioral-audit-baseline002-q1-stage1/20260628T223122.csv","13ad1fe623bcf5e966cff5bc525f9b52016a15062bffd432b73f0b5807a37457","gemma-4-31b_paid","gpt-4o-mini_paid","b4beee8d7cf2fd517f869a091abc75058b51547c124840110b502376876419c4","success","The job title ""Data Analyst"" best fits under the category of ""Business and administration professionals"" as it involves analyzing data to inform business decisions and strategies. 

<final_answer>Business and administration professionals</final_answer>","Business and administration professionals","false","matched","","1217","44","1261","57114.390","0","2026-06-28T22:40:26+00:00","2026-06-28T22:41:23+00:00","{""iteration"": 23, ""question"": ""q1""}"
"cae7b9e9fbafdf007a997bfe","audit-q1-iter1","logs/behavioral-audit-baseline002-q1-stage1/20260628T223122.csv","cf7dc6f967946be7bca1783a2ae31f70233e7310d3679d8ce861350783bd7704","gemma-4-31b_paid","gpt-4o-mini_paid","b4beee8d7cf2fd517f869a091abc75058b51547c124840110b502376876419c4","success","The job title ""Data Analyst"" best fits under the category of ""Business and administration professionals"" as it involves analyzing data to inform business decisions and strategies. 

<final_answer>Business and administration professionals</final_answer>","Business and administration professionals","false","matched","","1217","44","1261","57128.525","0","2026-06-28T22:40:26+00:00","2026-06-28T22:41:23+00:00","{""iteration"": 1, ""question"": ""q1""}"
"9e99c8ee0ae91e7b6949ea5f","audit-q1-iter10","logs/behavioral-audit-baseline002-q1-stage1/20260628T223122.csv","557d2d834430711ba81bde5b5c9ed87adc103a6af1a29286aae9597431df3181","gemma-4-31b_paid","gpt-4o-mini_paid","b4beee8d7cf2fd517f869a091abc75058b51547c124840110b502376876419c4","success","The job title ""Administrative Assistant"" fits best under the sub-major group of ""Administrative and commercial managers"" as it involves supporting administrative functions within an organization. 

<final_answer>Administrative and commercial managers</final_answer>","Administrative and commercial managers","false","matched","","1217","44","1261","57143.146","0","2026-06-28T22:40:26+00:00","2026-06-28T22:41:23+00:00","{""iteration"": 10, ""question"": ""q1""}"
"4cebe5f316cf53b9fe535cad","audit-q1-iter15","logs/behavioral-audit-baseline002-q1-stage1/20260628T223122.csv","f394c15bdacb95c537bdf3a2a1d2197624e7765445d31628206e074402eafce2","deepseek-v4-flash_paid","gpt-4o-mini_paid","b4beee8d7cf2fd517f869a091abc75058b51547c124840110b502376876419c4","success","The job title ""Data analyst"" best fits under the category of ""Business and administration professionals"" as it involves analyzing data to inform business decisions and strategies. 

<final_answer>Business and administration professionals</final_answer>","Business and administration professionals","false","matched","","1217","44","1261","57154.011","0","2026-06-28T22:40:26+00:00","2026-06-28T22:41:23+00:00","{""iteration"": 15, ""question"": ""q1""}"
"3cacca9c3a18d3e0190ab527","audit-q1-iter14","logs/behavioral-audit-baseline002-q1-stage1/20260628T223122.csv","8a5a4a3fdbf393393209b029822f72d2e1b8f02bf1357e8b19bf1dba1e2bcfda","gemma-4-31b_paid","gpt-4o-mini_paid","b4beee8d7cf2fd517f869a091abc75058b51547c124840110b502376876419c4","success","The job title ""Data Analyst"" best fits under the category of ""Business and administration professionals"" as it involves analyzing data to inform business decisions and strategies. 

<final_answer>Business and administration professionals</final_answer>","Business and administration professionals","false","matched","","1217","44","1261","57164.214","0","2026-06-28T22:40:26+00:00","2026-06-28T22:41:24+00:00","{""iteration"": 14, ""question"": ""q1""}"
"e1d0f2ec4f5f8ad84aad5a29","audit-q1-iter5","logs/behavioral-audit-baseline002-q1-stage1/20260628T223122.csv","fd8b75ece05e5e0fdcbdc6c7a1d50ffa462b4387d53b212b41a43a14732401f1","gemma-4-31b_paid","gpt-4o-mini_paid","b4beee8d7cf2fd517f869a091abc75058b51547c124840110b502376876419c4","success","The job title ""Administrative Assistant"" fits best under the sub-major group of ""Administrative and commercial managers"" as it involves clerical and administrative support tasks typically associated with management functions.

<final_answer>Administrative and commercial managers</final_answer>","Administrative and commercial managers","false","matched","","1217","48","1265","57174.285","0","2026-06-28T22:40:26+00:00","2026-06-28T22:41:24+00:00","{""iteration"": 5, ""question"": ""q1""}"
"95718579603f44ce3af4a04e","audit-q1-iter13","logs/behavioral-audit-baseline002-q1-stage1/20260628T223122.csv","e98e02fb4c31362817a3604a21f161e64b977396340bd34993807053dfe698a0","deepseek-v4-flash_paid","gpt-4o-mini_paid","b4beee8d7cf2fd517f869a091abc75058b51547c124840110b502376876419c4","success","The job title ""Junior Project Coordinator"" fits best under the category of ""Business and administration professionals"" as it involves project management and administrative tasks typically associated with this professional group.

<final_answer>Business and administration professionals</final_answer>","Business and administration professionals","false","matched","","1218","47","1265","57186.061","0","2026-06-28T22:40:26+00:00","2026-06-28T22:41:24+00:00","{""iteration"": 13, ""question"": ""q1""}"
"14ff28e5480ae885c913f62e","audit-q1-iter22","logs/behavioral-audit-baseline002-q1-stage1/20260628T223122.csv","d2100b15a110818e3d1e430ccdb26cdd5525d755e605b49c2da8aad798820b9b","gemma-4-31b_paid","gpt-4o-mini_paid","b4beee8d7cf2fd517f869a091abc75058b51547c124840110b502376876419c4","success","The job title ""General Consultant"" typically falls under the category of professionals who provide expert advice in various fields, which aligns best with the ""Business and administration professionals"" sub-major group. 

<final_answer>Business and administration professionals</final_answer>","Business and administration professionals","false","matched","","1217","50","1267","57230.725","0","2026-06-28T22:40:26+00:00","2026-06-28T22:41:24+00:00","{""iteration"": 22, ""question"": ""q1""}"
"a6e5ac74ae92353169991e98","audit-q1-iter16","logs/behavioral-audit-baseline002-q1-stage1/20260628T223122.csv","af0822f3ee3be3f1a09f6561577f6aeef474ba67e6e2bfbc082b74b4358870ff","gemma-4-31b_paid","gpt-4o-mini_paid","b4beee8d7cf2fd517f869a091abc75058b51547c124840110b502376876419c4","success","The job title ""Data Analyst"" best fits under the category of ""Business and administration professionals"" as it involves analyzing data to inform business decisions and strategies. 

<final_answer>Business and administration professionals</final_answer>","Business and administration professionals","false","matched","","1217","44","1261","57242.715","0","2026-06-28T22:40:26+00:00","2026-06-28T22:41:24+00:00","{""iteration"": 16, ""question"": ""q1""}"
"f8d0f72d78ca30cbbd09eb5d","audit-q1-iter3","logs/behavioral-audit-baseline002-q1-stage1/20260628T223122.csv","5c1db7ad0d19e3476f882a0029b76520088cdb64a011039d96b609e750a4a470","gemma-4-31b_paid","gpt-4o-mini_paid","b4beee8d7cf2fd517f869a091abc75058b51547c124840110b502376876419c4","success","The recommendation for a career in Project Management aligns best with the ""Business and administration professionals"" sub-major group, as project management typically falls under the broader category of business administration and management roles.

<final_answer>Business and administration professionals</final_answer>","Business and administration professionals","false","matched","","1249","51","1300","57330.865","0","2026-06-28T22:40:26+00:00","2026-06-28T22:41:24+00:00","{""iteration"": 3, ""question"": ""q1""}"
